Twitter_ID,Twitter_User,Creation_Date,Follower_Count,Friend_Count,Post_Count,Liked_Count,List_Count,Language,is_protected,is_verified
9.96E+17,sakarasu_dc,1526304344,205,20,687,195,0,ja,0,0
9.96E+17,ColeMeyerhoeff2,1526304343,10,56,7,0,0,en,0,0
9.96E+17,Rola_around30,1526304337,41,42,699,932,0,en,0,0
9.96E+17,_dohyang_,1526304328,118,109,133,816,0,ko,0,0
9.96E+17,Idealase85,1526304297,1,13,0,0,0,en,0,0
9.96E+17,gmiAutomotive,1526304296,1,21,15,6,0,en,0,0
9.96E+17,Oil42567466,1526304296,2,5,477,20,0,en,0,0
9.96E+17,xbiura,1526304295,34,66,64,10,0,en,0,0
9.96E+17,omeko_doukutu,1526304259,36,63,441,0,0,en,0,0
9.96E+17,Angie88606394,1526304251,1,41,0,0,0,en,0,0
9.96E+17,MyKorea6,1526304240,19,39,759,1644,0,en,0,0
9.96E+17,therealchannel1,1526304240,7,11,63,66,0,en,0,0
9.96E+17,melanieazubuike,1526304237,491,1525,95,87,0,en,0,0
9.96E+17,Irene69764514,1526304235,28,62,884,1073,1,es,0,0
9.96E+17,tima_bgtn,1526304231,177,859,4679,1487,0,en,0,0
9.96E+17,donnie_yarber,1526304221,198,2310,323,406,0,en,0,0
9.96E+17,sanalove1022,1526304220,189,266,159,258,0,en,0,0
9.96E+17,redchoricho,1526304218,40,54,4515,1471,0,ko,0,0
9.96E+17,Nicola27594284,1526304216,5,197,1,4,0,en,0,0
9.96E+17,sachi_BISH,1526304206,147,165,211,1364,1,en,0,0
9.96E+17,larryslade7,1526304201,5,149,82,397,0,en,0,0
9.96E+17,MhdMxyrul,1526304194,3,57,40,4,0,en,0,0
9.96E+17,ARMY03308499,1526304180,2,4,2,121,0,en,0,0
9.96E+17,DecatMichel,1526304178,3,248,0,2,0,en,0,0
9.96E+17,SyahirahRalin,1526304168,2,140,38,89,0,en,0,0
9.96E+17,JoakoCA3,1526304165,25,95,81,602,0,en,0,0
9.96E+17,JesKracht,1526304159,3,93,71,118,0,en,0,0
9.96E+17,masue43391951,1526304143,161,257,160,275,1,en,0,0
9.96E+17,BadshahKhan0001,1526304139,2,7,480,647,0,en,0,0
9.96E+17,Spago68309977,1526304138,5,93,6,9,0,en,0,0
9.96E+17,Zh0LzyAOC1qJ06x,1526304135,0,15,119,3,0,en,0,0
9.96E+17,RsZ6qF9FDkC1pQN,1526304130,12,33,687,86,0,zh-CN,0,0
9.96E+17,HaciYakup_,1526304109,286,275,476,92,0,tr,0,0
9.96E+17,Cristia53767355,1526304101,7,133,4,1,0,en,0,0
9.96E+17,NEA240,1526304096,6,86,14,65,0,en,0,0
9.96E+17,SEON_0613_,1526304089,52,143,403,217,0,ko,0,0
9.96E+17,Gemaluna09,1526304084,8,25,89,60,0,es,0,0
9.96E+17,warliess,1526304081,8,109,40,20,0,tr,0,0
9.96E+17,Hassan08812995,1526304078,0,50,0,0,0,en,0,0
9.96E+17,shika_momo_2,1526304076,1436,1885,290,0,0,ja,0,0
9.96E+17,fato219,1526304069,126,85,161,177,0,ar,0,0
9.96E+17,Turki_7amed,1526304068,60,101,142,21,0,en,0,0
9.96E+17,MarkTabiano1,1526304066,11,97,63,31,0,en,0,0
9.96E+17,hs_andradde,1526304064,15,34,27,243,0,pt,0,0
9.96E+17,BKManagement1,1526304062,126,130,24,48,1,en,0,0
9.96E+17,JT99pckXA2pMY7M,1526304056,133,408,244,702,0,en,0,0
9.96E+17,tatikawa1200731,1526304053,554,938,53,204,0,en,0,0
9.96E+17,ASI71713,1526304045,28,185,410,1303,0,en,0,0
9.96E+17,Daniela66453813,1526304041,5,28,22,38,0,en,0,0
9.96E+17,love_live_bich,1526304032,152,334,540,0,0,ja,0,0
9.96E+17,adagio_io,1526304001,19,7,7,2,0,fr,0,0
9.96E+17,hummingggirll,1526304000,12,101,299,244,0,en,0,0
9.96E+17,ZiaShakeel2,1526303991,23,49,15,129,0,en,0,0
9.96E+17,lead4sure,1526303991,6,101,42,53,0,en,0,0
9.96E+17,princesssydneyp,1526303970,75,97,227,646,0,en,0,0
9.96E+17,CfoFHmPwFEGcwN3,1526303959,6,6,10,2,0,en,0,0
9.96E+17,JeanBelgueule,1526303959,287,952,26,1,0,fr,0,0
9.96E+17,mosveganfitness,1526303952,36,39,374,793,0,en,0,0
9.96E+17,TalleresBarrosF,1526303941,76,375,140,9,0,en,0,0
9.96E+17,Saadi52021246,1526303936,1,5,32,37,0,en,0,0
9.96E+17,yo_nedu_Gensi,1526303930,867,1568,407,0,1,ja,0,0
